root_r.x,root_r.y,root_r.z,hand_r.x,hand_r.y,hand_r.z,finger_thumb_0_r.x,finger_thumb_0_r.y,finger_thumb_0_r.z,finger_thumb_1_r.x,finger_thumb_1_r.y,finger_thumb_1_r.z,finger_thumb_2_r.x,finger_thumb_2_r.y,finger_thumb_2_r.z,finger_index_0_r.x,finger_index_0_r.y,finger_index_0_r.z,finger_index_1_r.x,finger_index_1_r.y,finger_index_1_r.z,finger_index_2_r.x,finger_index_2_r.y,finger_index_2_r.z,finger_middle_0_r.x,finger_middle_0_r.y,finger_middle_0_r.z,finger_middle_1_r.x,finger_middle_1_r.y,finger_middle_1_r.z,finger_middle_2_r.x,finger_middle_2_r.y,finger_middle_2_r.z,finger_ring_0_r.x,finger_ring_0_r.y,finger_ring_0_r.z,finger_ring_1_r.x,finger_ring_1_r.y,finger_ring_1_r.z,finger_ring_2_r.x,finger_ring_2_r.y,finger_ring_2_r.z,finger_pinky_0_r.x,finger_pinky_0_r.y,finger_pinky_0_r.z,finger_pinky_1_r.x,finger_pinky_1_r.y,finger_pinky_1_r.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,finger_thumb_2_l.x,finger_thumb_2_l.y,finger_thumb_2_l.z,
0.14, 1.68, 0.27,0.14, 1.68, 0.27,0.11, 1.66, 0.28,0.11, 1.64, 0.33,0.11, 1.64, 0.36,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.42,0.16, 1.68, 0.33,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.35,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.21,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.27,0.14, 1.68, 0.27,0.11, 1.66, 0.28,0.11, 1.64, 0.33,0.11, 1.64, 0.36,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.42,0.16, 1.68, 0.33,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.35,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.21,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.27,0.14, 1.68, 0.27,0.11, 1.66, 0.28,0.11, 1.64, 0.33,0.11, 1.64, 0.36,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.42,0.16, 1.68, 0.33,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.35,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.21,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.27,0.14, 1.68, 0.27,0.11, 1.66, 0.28,0.11, 1.64, 0.33,0.11, 1.64, 0.36,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.42,0.16, 1.68, 0.33,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.35,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.21,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.35,0.10, 1.67, 0.40,0.09, 1.67, 0.42,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.12, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.36,0.10, 1.67, 0.40,0.11, 1.64, 0.40,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.13, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.36,0.10, 1.67, 0.40,0.11, 1.64, 0.40,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.13, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.36,0.10, 1.67, 0.40,0.11, 1.64, 0.40,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.13, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.36,0.10, 1.67, 0.40,0.11, 1.64, 0.40,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.13, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
0.14, 1.68, 0.28,0.14, 1.68, 0.28,0.11, 1.66, 0.29,0.11, 1.64, 0.33,0.11, 1.64, 0.37,0.11, 1.67, 0.36,0.10, 1.67, 0.40,0.11, 1.64, 0.40,0.14, 1.68, 0.35,0.13, 1.68, 0.40,0.13, 1.68, 0.43,0.16, 1.68, 0.34,0.15, 1.68, 0.38,0.15, 1.68, 0.41,0.18, 1.68, 0.32,0.17, 1.67, 0.36,0.32, 1.68, 0.24,0.32, 1.68, 0.24,0.34, 1.67, 0.22,0.37, 1.65, 0.18,0.39, 1.64, 0.15,0.40, 1.68, 0.24,0.44, 1.68, 0.26,0.46, 1.68, 0.27,0.39, 1.68, 0.26,0.43, 1.68, 0.29,0.45, 1.68, 0.31,0.37, 1.68, 0.28,0.40, 1.68, 0.31,0.42, 1.68, 0.33,0.34, 1.68, 0.29,0.37, 1.68, 0.32,
